"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-02 05:41:12","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","207","318","","","","","","","0","1"
"2023-04-02 05:45:04","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","208","318","","","","","","","1","0"
"2023-04-02 05:45:21","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","208","319","","","","","","","0","1"
"2023-04-02 05:45:27","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","209","321","","","","","","","1","0"
"2023-04-02 05:45:28","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","209","321","","","","","","","0","1"
"2023-04-02 05:48:10","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","209","322","","","","","","","0","1"
"2023-04-02 05:48:38","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","209","323","","","","","","","0","1"
"2023-04-02 06:15:50","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","209","324","","","","","","","0","1"
"2023-04-02 06:20:41","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","210","324","","","","","","","1","0"
"2023-04-02 06:48:40","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","210","325","","","","","","","0","1"
"2023-04-02 06:51:32","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","210","326","","","","","","","0","1"
"2023-04-02 06:51:33","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","210","327","","","","","","","0","1"
"2023-04-02 06:52:03","CONTADOR DELANTERO","REGISTRO_CONTEO","RESET","","","","0","0","","","","","","","",""
"2023-04-02 06:55:39","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","1","0","","","","","","","1","0"
"2023-04-02 07:35:22","CONTADOR DELANTERO","REGISTRO_CONTEO","RESET","","","","0","0","","","","","","","",""
"2023-04-02 07:35:43","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-02 07:40:05","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","0","2","","","","","","","0","1"
"2023-04-02 07:40:10","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","0","3","","","","","","","0","1"
"2023-04-02 07:40:13","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","1","3","","","","","","","1","0"
"2023-04-02 07:40:19","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","2","3","","","","","","","1","0"
"2023-04-02 07:40:53","CONTADOR DELANTERO","REGISTRO_CONTEO","BAJADAS","","","","2","4","","","","","","","0","1"
"2023-04-02 07:41:04","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","3","4","","","","","","","1","0"
"2023-04-02 07:46:31","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","4","4","","","","","","","1","0"
"2023-04-02 07:46:35","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-02 07:50:21","CONTADOR DELANTERO","REGISTRO_CONTEO","SUBIDAS","","","","5","4","","","","","","","1","0"
"2023-04-02 07:51:20","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-02 07:54:35","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
