"Hora","Dispositivo","Boleto","Evento Contador","Folio de corte","Dinero Total","Conteo Total","Subidas Totales","Bajadas Totales","Tipo Tarifa","Directo","Estudiantes","Tercera Edad","Local","Exactitud","Subidas","Bajadas"
"2023-04-03 06:00:57","CONTADOR DELANTERO","","BAJADAS","","","","156","217","","","","","","","0","1"
"2023-04-03 06:01:33","CONTADOR DELANTERO","","RESET","","","","0","0","","","","","","","",""
"2023-04-03 06:06:38","CONTADOR DELANTERO","","BAJADAS","","","","0","1","","","","","","","0","1"
"2023-04-03 06:06:43","CONTADOR DELANTERO","","SUBIDAS","","","","1","1","","","","","","","1","0"
"2023-04-03 06:07:45","CONTADOR DELANTERO","","BAJADAS","","","","1","2","","","","","","","0","1"
"2023-04-03 06:09:03","CONTADOR DELANTERO","","SUBIDAS","","","","2","2","","","","","","","1","0"
"2023-04-03 06:12:48","CONTADOR DELANTERO","","SUBIDAS","","","","3","2","","","","","","","1","0"
"2023-04-03 06:12:50","BIA","REGISTRO","","","20","1","","","","1","0","0","0","","",""
"2023-04-03 06:13:23","BIA","REGISTRO","","","40","2","","","","1","0","0","0","","",""
"2023-04-03 06:13:24","CONTADOR DELANTERO","","SUBIDAS","","","","4","2","","","","","","","1","0"
"2023-04-03 06:14:24","BIA","REGISTRO","","","60","3","","","","1","0","0","0","","",""
"2023-04-03 06:16:59","CONTADOR DELANTERO","","SUBIDAS","","","","5","2","","","","","","","1","0"
"2023-04-03 06:17:01","BIA","REGISTRO","","","80","4","","","","1","0","0","0","","",""
"2023-04-03 06:17:48","CONTADOR DELANTERO","","SUBIDAS","","","","6","2","","","","","","","1","0"
"2023-04-03 06:17:48","BIA","REGISTRO","","","90","5","","","","0","0","1","0","","",""
"2023-04-03 06:18:53","BIA","REGISTRO","","","110","6","","","","1","0","0","0","","",""
"2023-04-03 06:19:39","CONTADOR DELANTERO","","SUBIDAS","","","","7","2","","","","","","","1","0"
"2023-04-03 06:20:05","BIA","REGISTRO","","","130","7","","","","1","0","0","0","","",""
"2023-04-03 06:21:21","BIA","REGISTRO","","","150","8","","","","1","0","0","0","","",""
"2023-04-03 06:21:46","CONTADOR DELANTERO","","BAJADAS","","","","7","3","","","","","","","0","1"
